© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	morphology	Morphology of lymphoid tissue	6.21E-03	 	 	 	 	RBL2,BNIP3L,STEAP3,IL4,IL5RA,PRKCH,IKZF3,PRKCZ,BANK1,TLE4,CITED2,PPT2	12	
Carbohydrate Metabolism, Small Molecule Biochemistry	catabolism	Catabolism of proteoglycan	6.22E-03	 	 	 	 	CTSB,IL4	2	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of memory B cells	6.22E-03	 	 	 	 	FOXP1,IL4	2	
Cancer	hyperplasia	Hyperplasia of cell lines	6.22E-03	 	 	 	 	IGF1R,IL4	2	
Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Organ Development, Skeletal and Muscular System Development and Function, Tissue Development	proliferation	Proliferation of myofibroblasts	6.22E-03	 	 	 	 	CTSB,IL4	2	
Cell Death and Survival	survival	Cell survival	6.27E-03	 	 	 	 	SIGLEC8,MITF,RALB,LRIG1,KRT19,DICER1,ATP2C1,STX1B,PRKCH,PRKCZ,HK2,NCK1,PPP2CA,TANK,PTGDR2,ANGPT2,SLC7A1,IL4,ENG,IGF1R,NCSTN,RPTOR,CTSB,SMARCD3,RNASE2	25	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	lymphopoiesis	Lymphopoiesis	6.41E-03	 	 	 	 	ZFPM1,FOXP1,RBL2,IL4,IL5RA,IKZF3,NR0B2,IGF1R,RPTOR,DICER1,PRKCH,PRKCZ,ARID3A,TLE4	14	
Cellular Development	differentiation	Differentiation of neuroblastoma cell lines	6.48E-03	 	 	 	 	IGF1R,PCYT1A,ATP2C1	3	
Neurological Disease, Organismal Injury and Abnormalities	neurodegeneration	Neurodegeneration of cerebellum	6.48E-03	 	 	 	 	DICER1,CTSB,PPT2	3	
Cancer, Organismal Injury and Abnormalities	genitourinary tumor	Genitourinary tumor	6.54E-03	 	 	 	 	SOGA1,RBL2,BNIP3L,EHF,MITF,OSBPL3,PLGRKT,IRF6,GDF5OS,TRAPPC9,LPIN1,RALB,TNIK,LRIG1,DICER1,ATP2C1,LRP12,PRKCH,DNAH17,ASCC1,ARID3A,ELOVL7,SLC7A1,ABCB9,SAFB2,DDIT4,ENG,PSMC3IP,CATSPER4,IGF1R,SLC2A9,RPTOR,RPS6KA2,TMEM131,ACP5,TFF2,SHANK2,CS,ZNF862,SMARCD3,SUGT1,ZFPM1,SEC16B,YWHAQ,AP5B1,RHOBTB2,NAPA,NOM1,TMEM104,LPCAT2,IKZF3,MS4A2,POLR2B,KRT19,STEAP3,MED27,EGFLAM,STX1B,EPX,IRF2BPL,LSM14B,PRKCZ,PHF19,PMP22,PPP2CA,ITIH4,KIF5C,ANGPT2,COL15A1,IL4,VKORC1L1,IL5RA,NISCH,ATL3,CLEC12A,ACOT7,NR0B2,CTSB,MCC,FOXK2,KAT6B,RNASE2	82	
Hematological System Development and Function, Tissue Morphology	quantity	Quantity of myeloid cells	6.56E-03	 	 	 	 	IRF6,PTGDR2,SIGLEC8,RBL2,CTSB,IL4,IL5RA,ARID3A,TLE4,PPT2,PPP2CA	11	
Free Radical Scavenging	production	Production of reactive oxygen species	6.58E-03	 	 	 	 	IRF6,PRG2,ANGPT2,SHANK2,IL4,FBP1,PRKCZ,HK2,PRG3	9	
Cell Morphology	morphology	Morphology of tumor cell lines	6.73E-03	 	 	 	 	IGF1R,IRF6,RBL2,PRKCH,MITF,PRKCZ,GPI	7	
Antimicrobial Response, Inflammatory Response	antiviral response	Antiviral response	6.80E-03	 	 	 	 	SERINC5,DICER1,BNIP3L,IL4,DDIT4,RNASE2	6	
Hereditary Disorder, Organismal Injury and Abnormalities	autosomal dominant disease	Autosomal dominant disease	6.84E-03	 	 	 	 	KIF5C,ANGPT2,BNIP3L,ENG,MITF,CYB561,ATL3,KCNH2,IRF6,KRT19,SLC2A9,DICER1,STEAP3,STX1B,KAT6B,TLE4,PMP22	17	
Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymph follicle	6.89E-03	 	 	 	 	IKZF3,ARID3A,PRKCZ,TLE4,BANK1	5	
Carbohydrate Metabolism	gluconeogenesis	Gluconeogenesis	6.90E-03	 	 	 	 	SOGA1,FBP1,PGAM2,NR0B2	4	
Cell-To-Cell Signaling and Interaction, Cellular Assembly and Organization, Skeletal and Muscular System Development and Function	fusion	Fusion of myotube	6.96E-03	 	 	 	 	IGF1R,IL4	2	
Cell Morphology, Inflammatory Response	size	Size of phagocytes	6.96E-03	 	 	 	 	RPTOR,IL4	2	
Cell Signaling, Molecular Transport, Vitamin and Mineral Metabolism	translocation	Translocation of Ca2+	6.96E-03	 	 	 	 	SLC8B1,ATP2C1	2	
Dermatological Diseases and Conditions, Organ Morphology, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of small hair follicle	7.02E-03	 	 	 	 	IGF1R	1	
Hematological System Development and Function, Hematopoiesis, Tissue Development	accumulation	Accumulation of granulomonocytic cells	7.02E-03	 	 	 	 	NCSTN	1	
Tissue Development	accumulation	Accumulation of neuronal progenitor cells	7.02E-03	 	 	 	 	DICER1	1	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function	action potential	Action potential of embryonic stem cell lines	7.02E-03	 	 	 	 	KCNH2	1	
Cell-To-Cell Signaling and Interaction, Nervous System Development and Function	action potential	Action potential of heart cell lines	7.02E-03	 	 	 	 	KCNH2	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Humoral Immune Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of B-1b lymphocytes	7.02E-03	 	 	 	 	IL4	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Hematopoiesis, Humoral Immune Response, Immune Cell Trafficking, Inflammatory Response	activation	Activation of pre-B lymphocytes	7.02E-03	 	 	 	 	IL4	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	albinism-deafness syndrome of tietz	Albinism-deafness syndrome of tietz	7.02E-03	 	 	 	 	MITF	1	
Antigen Presentation, Cell-To-Cell Signaling and Interaction, Inflammatory Response	antigen presentation	Antigen presentation by Langerhans cells	7.02E-03	 	 	 	 	IL4	1	
Cell Morphology, Endocrine System Development and Function, Organ Morphology, Organismal Development	area	Area of thyrocytes	7.02E-03	 	 	 	 	IGF1R	1	
Organ Morphology, Tissue Development	branching	Arrest in branching of lung	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Lymphoid Tissue Structure and Development	proliferation	Arrest in proliferation of Th2 cells	7.02E-03	 	 	 	 	IL4	1	
Neurological Disease, Organismal Injury and Abnormalities	ataxia	Ataxia of Purkinje cells	7.02E-03	 	 	 	 	DICER1	1	
Cardiovascular Disease, Developmental Disorder, Hereditary Disorder, Organismal Injury and Abnormalities	atrial septal defect type 8	Atrial septal defect type 8	7.02E-03	 	 	 	 	CITED2	1	
Cell-To-Cell Signaling and Interaction, Reproductive System Development and Function	attachment	Attachment of prostate cells	7.02E-03	 	 	 	 	ENG	1	
Cell Morphology, Cellular Function and Maintenance	autophagy	Autophagy of thymocytes	7.02E-03	 	 	 	 	DDIT4	1	
Cell Morphology, Cellular Function and Maintenance	autophagy	Autophagy of thymoma cell lines	7.02E-03	 	 	 	 	DDIT4	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Renal and Urological Disease	autosomal dominant renal hypouricemia type 2	Autosomal dominant renal hypouricemia type 2	7.02E-03	 	 	 	 	SLC2A9	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal recessive Charcot-Marie-Tooth disease type 1A	Autosomal recessive Charcot-Marie-Tooth disease type 1A	7.02E-03	 	 	 	 	PMP22	1	
Hereditary Disorder, Organismal Injury and Abnormalities, Renal and Urological Disease, Skeletal and Muscular Disorders	autosomal recessive acute recurrent myoglobinuria	Autosomal recessive acute recurrent myoglobinuria	7.02E-03	 	 	 	 	LPIN1	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal recessive mental retardation type 13	Autosomal recessive mental retardation type 13	7.02E-03	 	 	 	 	TRAPPC9	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities, Renal and Urological Disease	autosomal recessive renal hypouricemia type 2	Autosomal recessive renal hypouricemia type 2	7.02E-03	 	 	 	 	SLC2A9	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	beta-hexosaminidase A pseudodeficiency	Beta-hexosaminidase A pseudodeficiency	7.02E-03	 	 	 	 	HEXA	1	
Cell Cycle, Gene Expression	binding	Binding of androgen receptor binding site	7.02E-03	 	 	 	 	IL4	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Bowen-Conradi syndrome	Bowen-Conradi syndrome	7.02E-03	 	 	 	 	EMG1	1	
Carbohydrate Metabolism, Small Molecule Biochemistry	breakdown	Breakdown of proteoglycan	7.02E-03	 	 	 	 	IL4	1	
Cell Death and Survival, Neurological Disease, Organismal Injury and Abnormalities	cell death	Cell death of corticotroph cells	7.02E-03	 	 	 	 	DICER1	1	
Cell Death and Survival	cell death	Cell death of type 1 macrophages	7.02E-03	 	 	 	 	CTSB	1	
Cell Morphology	cell flattening	Cell flattening of epithelial cell lines	7.02E-03	 	 	 	 	PRKCH	1	
Cell Morphology	cell flattening	Cell flattening of keratinocyte cancer cell lines	7.02E-03	 	 	 	 	PRKCH	1	
Cell Morphology	cell flattening	Cell flattening of skin cell lines	7.02E-03	 	 	 	 	PRKCH	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by macrophage-like	7.02E-03	 	 	 	 	IL4	1	
Auditory Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	Charcot-Marie-Tooth disease type 1e	Charcot-Marie-Tooth disease type 1e	7.02E-03	 	 	 	 	PMP22	1	
Cancer, Organismal Injury and Abnormalities	chemosensitivity	Chemosensitivity of melanoma cell lines	7.02E-03	 	 	 	 	MITF	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	chromosome 1p32-p31 deletion syndrome	Chromosome 1p32-p31 deletion syndrome	7.02E-03	 	 	 	 	NFIA	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	chronic GM2 gangliosidosis	Chronic GM2 gangliosidosis	7.02E-03	 	 	 	 	HEXA	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis	co-stimulation	Co-stimulation of colony-forming erythroid cells	7.02E-03	 	 	 	 	IL4	1	
Cancer, Cellular Development, Cellular Growth and Proliferation, Organismal Injury and Abnormalities, Tumor Morphology	colony formation	Colony formation of gastric cancer cells	7.02E-03	 	 	 	 	SUGT1	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	complex cortical dysplasia with other brain malformations 2	Complex cortical dysplasia with other brain malformations 2	7.02E-03	 	 	 	 	KIF5C	1	
Cell Cycle, Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation	contact growth inhibition	Contact growth inhibition of fibrosarcoma cell lines	7.02E-03	 	 	 	 	GPI	1	
Cancer, Cell-To-Cell Signaling and Interaction, Inflammatory Response	cytotoxic reaction	Cytotoxic reaction of cervical cancer cell lines	7.02E-03	 	 	 	 	DICER1	1	
Cancer, Hereditary Disorder, Organismal Injury and Abnormalities	DICER1 syndrome	DICER1 syndrome	7.02E-03	 	 	 	 	DICER1	1	
Cellular Compromise, Neurological Disease, Ophthalmic Disease, Organismal Injury and Abnormalities, Tissue Morphology	degeneration	Degeneration of RPE cells	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Delay in initiation of differentiation of hippocampal neurons	7.02E-03	 	 	 	 	ATP2C1	1	
Cellular Development, Embryonic Development, Organ Development, Organismal Development, Reproductive System Development and Function, Tissue Development	differentiation	Delay in initiation of differentiation of mammary epithelial cells	7.02E-03	 	 	 	 	IGF1R	1	
Cellular Development	differentiation	Delay in initiation of differentiation of neuroblastoma cell lines	7.02E-03	 	 	 	 	ATP2C1	1	
Tissue Development	expansion	Delay in initiation of expansion of lumen	7.02E-03	 	 	 	 	IGF1R	1	
Cellular Assembly and Organization, Lipid Metabolism, Small Molecule Biochemistry	formation	Delay in initiation of formation of lipid droplets	7.02E-03	 	 	 	 	IGF1R	1	
Tissue Morphology	density	Density of B lymphocytes	7.02E-03	 	 	 	 	PRKCZ	1	
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	depletion	Depletion of bile acid	7.02E-03	 	 	 	 	NR0B2	1	
Cell-To-Cell Signaling and Interaction	detachment	Detachment of prostate cell lines	7.02E-03	 	 	 	 	ENG	1	
Cardiovascular System Development and Function, Embryonic Development, Organismal Development, Tissue Development	development	Development of aortic sac	7.02E-03	 	 	 	 	KCNH2	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of bulbus cordis	7.02E-03	 	 	 	 	KCNH2	1	
Embryonic Development, Organismal Development, Tissue Development	development	Development of cardiac loop	7.02E-03	 	 	 	 	KCNH2	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Organismal Development, Tissue Development	development	Development of neuroretina cells	7.02E-03	 	 	 	 	MITF	1	
Cell-mediated Immune Response, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Embryonic Development, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	differentiation	Differentiation of Tc2 cells	7.02E-03	 	 	 	 	IL4	1	
Cardiovascular System Development and Function, Cellular Development, Cellular Growth and Proliferation, Connective Tissue Development and Function, Hematological System Development and Function, Hematopoiesis, Organismal Development, Tissue Development	differentiation	Differentiation of burst-forming erythroid cells	7.02E-03	 	 	 	 	ZFPM1	1	
Cellular Development, Embryonic Development, Organismal Development, Tissue Development	differentiation	Differentiation of fibro/adipocyte progenitor cells	7.02E-03	 	 	 	 	IL4	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	differentiation	Differentiation of macrophage derived dendritic cells	7.02E-03	 	 	 	 	IL4	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of ophthalmic motor neurons	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of red nucleus neuron	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Nervous System Development and Function, Tissue Development	differentiation	Differentiation of serotonergic neurons	7.02E-03	 	 	 	 	DICER1	1	
Developmental Disorder, Embryonic Development, Tissue Morphology	disorganization	Disorganization of ureteric bud branch	7.02E-03	 	 	 	 	IGF1R	1	
Cellular Assembly and Organization, Cellular Compromise	disruption	Disruption of sarcolemma	7.02E-03	 	 	 	 	KRT19	1	
Nutritional Disease	early-onset mild obesity	Early-onset mild obesity	7.02E-03	 	 	 	 	NR0B2	1	
Cancer, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	embryonal rhabdomyosarcoma type 2	Embryonal rhabdomyosarcoma type 2	7.02E-03	 	 	 	 	DICER1	1	
Cell Morphology	enlargement	Enlargement of keratinocyte cancer cell lines	7.02E-03	 	 	 	 	PRKCH	1	
Cell Morphology	enlargement	Enlargement of skin cell lines	7.02E-03	 	 	 	 	PRKCH	1	
Cell Cycle	cell cycle progression	Entry into cell cycle progression of stem cells	7.02E-03	 	 	 	 	DICER1	1	
Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	eosinophil peroxidase deficiency	Eosinophil peroxidase deficiency	7.02E-03	 	 	 	 	EPX	1	
Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities, Respiratory Disease	eosinophilia	Eosinophilia of nasal tissue	7.02E-03	 	 	 	 	PTGDR2	1	
Hematological Disease	erythroblastosis	Erythroblastosis of bone marrow	7.02E-03	 	 	 	 	BNIP3L	1	
Hematological Disease, Immunological Disease, Organismal Injury and Abnormalities	erythroblastosis	Erythroblastosis of spleen	7.02E-03	 	 	 	 	BNIP3L	1	
Drug Metabolism, Molecular Transport	exchange	Exchange of lithium	7.02E-03	 	 	 	 	SLC8B1	1	
Cell Cycle	quiescence	Exit from quiescence of stem cells	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function	expansion	Expansion of Schwann cells	7.02E-03	 	 	 	 	PMP22	1	
Cellular Development, Cellular Growth and Proliferation, Embryonic Development, Nervous System Development and Function, Organ Development, Organismal Development, Tissue Development	expansion	Expansion of cortical precursor cells	7.02E-03	 	 	 	 	DICER1	1	
Dermatological Diseases and Conditions, Hereditary Disorder, Infectious Diseases, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	familial acne inversa type 1	Familial acne inversa type 1	7.02E-03	 	 	 	 	NCSTN	1	
Cancer, Hereditary Disorder, Organismal Injury and Abnormalities, Respiratory Disease	familial pleuropulmonary blastoma	Familial pleuropulmonary blastoma	7.02E-03	 	 	 	 	DICER1	1	
Cardiovascular Disease, Organismal Injury and Abnormalities	fibrosis	Fibrosis of ventricular tissue	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Cellular Growth and Proliferation, Nervous System Development and Function, Tissue Development	formation	Formation of sling cells	7.02E-03	 	 	 	 	NFIA	1	
Developmental Disorder, Hereditary Disorder, Ophthalmic Disease, Organismal Injury and Abnormalities	foveal hypoplasia 2 with optic nerve misrouting and anterior segment dysgenesis	Foveal hypoplasia 2 with optic nerve misrouting and anterior segment dysgenesis	7.02E-03	 	 	 	 	SLC38A8	1	
Inflammatory Response	frequency	Frequency of BDCA-3-positive dendritic cells	7.02E-03	 	 	 	 	IL4	1	
Embryonic Development	frequency	Frequency of hemangioblasts	7.02E-03	 	 	 	 	ENG	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	fructose-1,6-diphosphatase deficiency	Fructose-1,6-diphosphatase deficiency	7.02E-03	 	 	 	 	FBP1	1	
Cellular Assembly and Organization	fusion	Fusion of exocytic vesicle	7.02E-03	 	 	 	 	RALB	1	
Cell Cycle	G1/S phase transition	G1/S phase transition of DN1 cells	7.02E-03	 	 	 	 	RPTOR	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	generalized epilepsy with febrile seizures plus type 9	Generalized epilepsy with febrile seizures plus type 9	7.02E-03	 	 	 	 	STX1B	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	generation	Generation of M1 macrophages	7.02E-03	 	 	 	 	IL4	1	
Connective Tissue Disorders, Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	genitopatellar syndrome	Genitopatellar syndrome	7.02E-03	 	 	 	 	KAT6B	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	glycogen storage disease type X	Glycogen storage disease type X	7.02E-03	 	 	 	 	PGAM2	1	
Skeletal and Muscular System Development and Function	glycolytic capacity	Glycolytic capacity of anterior tibial muscle	7.02E-03	 	 	 	 	SMARCD3	1	
Infectious Diseases, Organismal Development	growth	Growth of Reoviridae	7.02E-03	 	 	 	 	CTSB	1	
Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function, Hematopoiesis, Lymphoid Tissue Structure and Development, Tissue Development	growth	Growth of fetal liver derived megakaryocytes	7.02E-03	 	 	 	 	IGF1R	1	
Dermatological Diseases and Conditions, Hereditary Disorder, Organismal Injury and Abnormalities	Hailey-Hailey disease	Hailey-Hailey disease	7.02E-03	 	 	 	 	ATP2C1	1	
Organismal Functions	healing	Healing of cortical astrocytes	7.02E-03	 	 	 	 	SLC8B1	1	
Cardiovascular Disease, Hereditary Disorder, Organismal Injury and Abnormalities	hereditary hemorrhagic telangiectasia type 1	Hereditary hemorrhagic telangiectasia type 1	7.02E-03	 	 	 	 	ENG	1	
Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	hereditary sensory neuropathy type IF	Hereditary sensory neuropathy type IF	7.02E-03	 	 	 	 	ATL3	1	
Neurological Disease, Organismal Injury and Abnormalities	hydrocephaly with hop gait	Hydrocephaly with hop gait	7.02E-03	 	 	 	 	NAPA	1	
Cardiovascular Disease, Hematological Disease, Hereditary Disorder, Organismal Injury and Abnormalities	hypochromic microcytic anemia with iron overload 2	Hypochromic microcytic anemia with iron overload 2	7.02E-03	 	 	 	 	STEAP3	1	
Developmental Disorder, Neurological Disease, Organismal Injury and Abnormalities	hypotrophy	Hypotrophy of cerebral cortex	7.02E-03	 	 	 	 	DICER1	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Inflammatory Response	induction	Induction of giant cells	7.02E-03	 	 	 	 	IL4	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Inflammatory Response	induction	Induction of peripheral blood monocytes	7.02E-03	 	 	 	 	IL4	1	
Cell-To-Cell Signaling and Interaction, Cellular Growth and Proliferation, Hematological System Development and Function, Inflammatory Response	induction	Induction of peripheral blood neutrophils	7.02E-03	 	 	 	 	IL4	1	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Infiltration by multinucleated giant cells	7.02E-03	 	 	 	 	PPT2	1	
Inflammatory Disease, Inflammatory Response, Neurological Disease, Organismal Injury and Abnormalities	inflammation	Inflammation of motor cortex	7.02E-03	 	 	 	 	IGF1R	1	
Inflammatory Response	inflammation	Inflammation of perivascular matrix	7.02E-03	 	 	 	 	ANGPT2	1	
Neurological Disease	conduction block	Initiation of conduction block of sciatic nerve	7.02E-03	 	 	 	 	PMP22	1	
Neurological Disease, Skeletal and Muscular Disorders	conduction block	Initiation of conduction block of tibial nerve	7.02E-03	 	 	 	 	PMP22	1	
Cardiovascular Disease	instability	Instability of vasculature	7.02E-03	 	 	 	 	ANGPT2	1	
Cancer, Organismal Injury and Abnormalities	intramucosal adenocarcinoma	Intramucosal adenocarcinoma	7.02E-03	 	 	 	 	PRKCZ	1	
Cellular Movement	invasion	Invasion of prostate cells	7.02E-03	 	 	 	 	ENG	1	
Cancer, Cellular Movement, Organismal Injury and Abnormalities	invasion	Invasion of urothelial cells	7.02E-03	 	 	 	 	IGF1R	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	juvenile onset Tay-Sachs disease	Juvenile onset Tay-Sachs disease	7.02E-03	 	 	 	 	HEXA	1	
Auditory and Vestibular System Development and Function, Organ Morphology, Organismal Development, Tissue Morphology	length	Length of cochlear epithelium	7.02E-03	 	 	 	 	IGF1R	1	
Connective Tissue Disorders, Neurological Disease, Organismal Injury and Abnormalities	lipoatrophy	Lipoatrophy of epineurium	7.02E-03	 	 	 	 	LPIN1	1	
Cell Death and Survival, Nervous System Development and Function, Tissue Morphology	loss	Loss of POMC neurons	7.02E-03	 	 	 	 	DICER1	1	
Cell Death and Survival	loss	Loss of cervical cancer cell lines	7.02E-03	 	 	 	 	DICER1	1	
Cellular Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development	maturation	Maturation of Th2 cells	7.02E-03	 	 	 	 	IL4	1	
Embryonic Development, Organ Development, Organismal Development, Tissue Development	maturation	Maturation of sensory epithelium	7.02E-03	 	 	 	 	IGF1R	1	
Developmental Disorder, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities, Psychological Disorders	mental retardation with language impairment and autistic features	Mental retardation with language impairment and autistic features	7.02E-03	 	 	 	 	FOXP1	1	
Cellular Movement, Nervous System Development and Function	migration	Migration of sling cells	7.02E-03	 	 	 	 	NFIA	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Organismal Injury and Abnormalities	mitochondrial complex V deficiency nuclear type 1	Mitochondrial complex V deficiency nuclear type 1	7.02E-03	 	 	 	 	ATPAF2	1	
Cell Cycle	mitosis	Mitosis of melanoma cell lines	7.02E-03	 	 	 	 	MITF	1	
Cell Cycle	mitotic index	Mitotic index of keratinocytes	7.02E-03	 	 	 	 	IL4	1	
Hematological Disease, Immunological Disease	hypereosinophilia	Moderate hypereosinophilia	7.02E-03	 	 	 	 	RNASE2	1	
Cell Morphology	modulation	Modulation of carcinoma cells	7.02E-03	 	 	 	 	IL4	1	
Cardiovascular System Development and Function, Cell Morphology, Inflammatory Response, Tissue Morphology	morphology	Morphology of peripheral blood monocytes	7.02E-03	 	 	 	 	PRKCZ	1	
Cell Morphology, Nervous System Development and Function	morphology	Morphology of tomacula	7.02E-03	 	 	 	 	PMP22	1	
Endocrine System Disorders, Organismal Injury and Abnormalities	multinodular goiter type 1 without Sertoli-Leydig cell tumors	Multinodular goiter type 1 without Sertoli-Leydig cell tumors	7.02E-03	 	 	 	 	DICER1	1	
Nervous System Development and Function	myelination	Myelination of dorsal root	7.02E-03	 	 	 	 	DICER1	1	
Nervous System Development and Function	myelination	Myelination of saphenous nerve	7.02E-03	 	 	 	 	DICER1	1	
Cell Death and Survival, Endocrine System Disorders, Gastrointestinal Disease, Organismal Injury and Abnormalities	necrosis	Necrosis of pancreatic acinus	7.02E-03	 	 	 	 	CTSB	1	
Cardiovascular Disease, Cell Death and Survival, Connective Tissue Disorders, Developmental Disorder, Hematological Disease, Hereditary Disorder, Neurological Disease, Organismal Injury and Abnormalities	nonspherocytic hemolytic anemia and neurologic deficits due to glucose phosphate isomerase deficiency	Nonspherocytic hemolytic anemia and neurologic deficits due to glucose phosphate isomerase deficiency	7.02E-03	 	 	 	 	GPI	1	
Embryonic Development, Tissue Morphology	opening	Opening of neural tube	7.02E-03	 	 	 	 	ATP2C1	1	
Connective Tissue Disorders, Developmental Disorder, Gastrointestinal Disease, Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	orofacial cleft 6	Orofacial cleft 6	7.02E-03	 	 	 	 	IRF6	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	osteoporosis	Osteoporosis of cortical bone	7.02E-03	 	 	 	 	IL4	1	
Connective Tissue Disorders, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	osteoporosis	Osteoporosis of trabecular bone	7.02E-03	 	 	 	 	IL4	1	
